Title,cast_and_crew
Ad Astra,"James Gray (director/screenplay); Ethan Gross (screenplay); Brad Pitt, Tommy Lee Jones, Ruth Negga, Liv Tyler, Donald Sutherland, John Ortiz, Lisa Gay Hamilton, Freda Foh Shen, Natasha Lyonne"
Downton Abbey,"Michael Engler (director); Julian Fellowes (screenplay); Hugh Bonneville, Jim Carter, Michelle Dockery, Elizabeth McGovern, Maggie Smith, Imelda Staunton, Penelope Wilton"
Rambo: Last Blood,"Adrian Grunberg (director); Sylvester Stallone, Matt Cirulnick (screenplay); Sylvester Stallone, Adriana Barraza, Paz Vega, Yvette Monreal, Sergio Peris-Mencheta, Oscar Jaenada, Joaquín Cosío"
Bloodline,"Henry Jacobson (director); Avra Fox-Lerne, Henry Jacobson, Will Honley (screenplay); Seann William Scott, Mariela Garriga, Dale Dickey, Kevin Carroll"
Running with the Devil,"Jason Cabell (director/screenplay); Nicolas Cage, Laurence Fishburne"
Fractured,"Brad Anderson (director); Alan B. McElroy (screenplay); Sam Worthington, Lily Rabe, Stephen Tobolowsky"
Abominable,"Jill Culton (director/screenplay); Todd Wilderman (co-director); Chloe Bennet, Albert Tsai, Tenzing Norgay Trainor, Eddie Izzard, Sarah Paulson"
The Laundromat,"Steven Soderbergh (director); Scott Z. Burns (screenplay); Meryl Streep, Gary Oldman, Antonio Banderas, Jeffrey Wright, Robert Patrick, David Schwimmer, Sharon Stone"
Judy,"Rupert Goold (director); Tom Edge (screenplay); Renée Zellweger, Jessie Buckley, Finn Wittrock, Rufus Sewell, Michael Gambon"
Prey,"Franck Khalfoun (director); David Coggeshall, Franck Khalfoun (screenplay); Logan Miller, Kristine Froseth"
Joker,"Todd Phillips (director/screenplay); Scott Silver (screenplay); Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy, Brett Cullen, Glenn Fleshler, Bill Camp, Shea Whigham, Marc Maron"
Lucy in the Sky,"Noah Hawley (director/screenplay); Brian C. Brown, Elliott DiGuiseppi (screenplay); Natalie Portman, Jon Hamm, Zazie Beetz, Dan Stevens, Colman Domingo, Ellen Burstyn"
Dolemite Is My Name,"Craig Brewer (director); Scott Alexander and Larry Karaszewski (screenplay); Eddie Murphy, Keegan-Michael Key, Mike Epps, Craig Robinson, Tituss Burgess, Da'Vine Joy Randolph, Wesley Snipes"
In the Tall Grass,"Vincenzo Natali (director/screenplay); Patrick Wilson, Harrison Gilbertson, Rachel Wilson"
Low Tide,"Kevin McMullin (director/screenplay); Keean Johnson, Jaeden Martell, Alex Neustaedter, Kristine Froseth, Shea Whigham"
Wrinkles the Clown,"Michael Beach Nichols (director); Michael Beach Nichols, Christopher K. Walker (screenplay)"
Little Monsters,"Abe Forsythe (director/screenplay); Lupita Nyong'o, Alexander England, Josh Gad"
Gemini Man,"Ang Lee (director); David Benioff, Billy Ray, Darren Lemke (screenplay); Will Smith, Mary Elizabeth Winstead, Clive Owen, Benedict Wong"
The Addams Family,"Conrad Vernon, Greg Tiernan (directors); Matt Lieberman, Pamela Pettler (screenplay); Oscar Isaac, Charlize Theron, Chloë Grace Moretz, Finn Wolfhard, Nick Kroll, Snoop Dogg, Bette Midler, Allison Janney"
The King,"David Michôd (director/screenplay); Joel Edgerton (screenplay); Timothée Chalamet, Joel Edgerton, Sean Harris, Lily-Rose Depp, Robert Pattinson, Ben Mendelsohn"
Jexi,"Jon Lucas, Scott Moore (directors/screenplay); Adam Devine, Rose Byrne, Alexandra Shipp, Ron Funches, Charlyne Yi, Wanda Sykes, Justin Hartley, Kid Cudi, Michael Peña"
Polaroid,"Lars Klevberg (director); Blair Butler (screenplay); Kathryn Prescott, Grace Zabriskie, Samantha Logan, Tyler Young, Javier Botet, Katie Stevens, Madelaine Petsch"
El Camino: A Breaking Bad Movie,"Vince Gilligan (director/screenplay); Aaron Paul, Jesse Plemons, Scott MacArthur, Scott Shepherd, Charles Baker, Matt Jones, Robert Forster"
Maleficent: Mistress of Evil,"Joachim Rønning (director); Linda Woolverton, Noah Harpster, Micah Fitzerman-Blue (screenplay); Angelina Jolie, Elle Fanning, Michelle Pfeiffer, Chiwetel Ejiofor, Sam Riley, Harris Dickinson, Ed Skrein, Imelda Staunton, Juno Temple, Lesley Manville"
Zombieland: Double Tap,"Ruben Fleischer (director); Rhett Reese, Paul Wernick, David Callaham (screenplay); Woody Harrelson, Jesse Eisenberg, Emma Stone, Abigail Breslin, Rosario Dawson, Zoey Deutch, Luke Wilson"
Jojo Rabbit,"Taika Waititi (director/screenplay); Roman Griffin Davis, Thomasin McKenzie, Scarlett Johansson, Taika Waititi, Rebel Wilson, Stephen Merchant, Alfie Allen, Sam Rockwell"
The Lighthouse,"Robert Eggers (director/screenplay); Max Eggers (screenplay); Willem Dafoe, Robert Pattinson"
Wounds,"Babak Anvari (director/screenplay); Armie Hammer, Dakota Johnson, Zazie Beetz"
Black and Blue,"Deon Taylor (director); Peter A. Dowling (screenplay); Naomie Harris, Tyrese Gibson, Frank Grillo, Mike Colter, Reid Scott, Beau Knapp"
The Current War,"Alfonso Gomez-Rejon (director); Michael Mitnick (screenplay); Benedict Cumberbatch, Michael Shannon, Katherine Waterston, Tom Holland, Tuppence Middleton, Matthew Macfadyen, Nicholas Hoult"
Countdown,"Justin Dec (director/screenplay); Elizabeth Lail, Peter Facinelli, Anne Winters, Talitha Bateman, Tichina Arnold, P. J. Byrne"
The Kill Team,"Dan Krauss (director); Nat Wolff, Alexander Skarsgård"
The Gallows Act II,"Chris Lofing, Travis Cluff (director/screenplay); Chris Milligan, Ema Horvath, Brittany Falardeau"
Terminator: Dark Fate,"Tim Miller (director); David S. Goyer, Justin Rhodes, Billy Ray (screenplay); Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Natalia Reyes, Gabriel Luna, Diego Boneta"
Motherless Brooklyn,"Edward Norton (director/screenplay); Edward Norton, Bruce Willis, Gugu Mbatha-Raw, Bobby Cannavale, Cherry Jones, Alec Baldwin, Willem Dafoe"
The Irishman,"Martin Scorsese (director); Steven Zaillian (screenplay); Robert De Niro, Al Pacino, Joe Pesci, Ray Romano, Bobby Canavale, Anna Paquin, Stephen Graham, Stephanie Kurtzuba, Jesse Plemons, Harvey Keitel"
Harriet,"Kasi Lemmons (director/screenplay); Gregory Allen Howard (screenplay); Cynthia Erivo, Leslie Odom Jr., Joe Alwyn, Janelle Monáe"
Arctic Dogs,"Aaron Woodley (director/screenplay); Bob Barlen, Cal Brunker (screenplay); Jeremy Renner, James Franco, Heidi Klum, Alec Baldwin, Omar Sy, Anjelica Huston, John Cleese"
Marriage Story,"Noah Baumbach (director/screenplay); Scarlett Johansson, Adam Driver, Laura Dern, Alan Alda, Ray Liotta, Julie Hagerty, Merritt Wever"
Doctor Sleep,"Mike Flanagan (director/screenplay); Ewan McGregor, Rebecca Ferguson, Kyliegh Curran, Cliff Curtis, Carl Lumbly, Zahn McClarnon, Emily Alyn Lind, Bruce Greenwood, Jocelin Donahue"
Last Christmas,"Paul Feig (director), Emma Thompson, Bryony Kimmings (screenplay); Emilia Clarke, Henry Golding, Michelle Yeoh, Emma Thompson"
Playing with Fire,"Andy Fickman (director); Dan Ewen, Matt Lieberman (screenplay); John Cena, Keegan-Michael Key, John Leguizamo, Brianna Hildebrand, Dennis Haysbert, Judy Greer"
Let It Snow,"Luke Snellin (director); Laura Solon, Victoria Strouse, Kay Cannon (screenplay); Isabela Merced, Shameik Moore, Kiernan Shipka, Odeya Rush, Liv Hewson, Mitchell Hope, Jacob Batalon, Joan Cusack"
Midway,"Roland Emmerich (director); Wes Tooke (screenplay); Ed Skrein, Patrick Wilson, Luke Evans, Aaron Eckhart, Nick Jonas, Mandy Moore, Dennis Quaid, Woody Harrelson"
Klaus,"Sergio Pablos (director); Zach Lewis, Jim Mahoney (screenplay); J. K. Simmons, Jason Schwartzman, Rashida Jones, Will Sasso, Neda Margrethe Labba, Sergio Pablos, Norm Macdonald, Joan Cusack"
Honey Boy,"Alma Har'el (director); Shia LaBeouf (screenplay); Shia LaBeouf, Lucas Hedges, Noah Jupe, FKA Twigs"
Lady and the Tramp,"Charlie Bean (director); Andrew Bujalski, Kari Granlund (screenplay); Tessa Thompson, Justin Theroux, Kiersey Clemons, Thomas Mann, Janelle Monáe, F. Murray Abraham, Yvette Nicole Brown, Adrian Martinez, Ken Jeong, Sam Elliott"
Noelle,"Marc Lawrence (director/screenplay); Anna Kendrick, Bill Hader, Kingsley Ben-Adir, Billy Eichner, Julie Hagerty, Shirley MacLaine"
Ford v Ferrari,"James Mangold (director); Jez Butterworth, John-Henry Butterworth, Jason Keller (screenplay); Matt Damon, Christian Bale, Jon Bernthal, Caitriona Balfe, Tracy Letts, Josh Lucas, Noah Jupe, Remo Girone, Ray McKinnon"
Charlie's Angels,"Elizabeth Banks (director/screenplay); Kristen Stewart, Naomi Scott, Ella Balinska, Elizabeth Banks, Djimon Hounsou, Sam Claflin, Noah Centineo, Nat Faxon, Patrick Stewart"
The Good Liar,"Bill Condon (director); Jeffrey Hatcher (screenplay); Ian McKellen, Helen Mirren, Russell Tovey, Jim Carter"
The Report,"Scott Z. Burns (director/screenplay); Adam Driver, Annette Bening, Ted Levine, Michael C. Hall, Tim Blake Nelson, Corey Stoll, Maura Tierney, Jon Hamm"
Waves,"Trey Edward Shults (director/screenplay); Kelvin Harrison Jr., Lucas Hedges, Taylor Russell, Alexa Demie, Renée Elise Goldsberry, Sterling K. Brown"
Frozen II,"Chris Buck, Jennifer Lee (directors); Jennifer Lee (screenplay); Idina Menzel, Kristen Bell, Jonathan Groff, Josh Gad, Sterling K. Brown, Evan Rachel Wood, Alfred Molina, Martha Plimpton, Jason Ritter, Rachel Matthews, Jeremy Sisto, Ciarán Hinds"
A Beautiful Day in the Neighborhood,"Marielle Heller (director); Micah Fitzerman-Blue, Noah Harpster (screenplay); Tom Hanks, Matthew Rhys, Susan Kelechi Watson, Chris Cooper"
21 Bridges,"Brian Kirk (director); Matthew Michael Carnahan, Adam Mervis (screenplay); Chadwick Boseman, Sienna Miller, Stephan James, Keith David, Taylor Kitsch, J.K. Simmons"
Dark Waters,"Todd Haynes (director); Mario Correa, Matthew Michael Carnahan (screenplay); Mark Ruffalo, Anne Hathaway, Tim Robbins, Bill Camp, Victor Garber, Mare Winningham, William Jackson Harper, Bill Pullman"
Knives Out,"Rian Johnson (director/screenplay); Daniel Craig, Chris Evans, Ana de Armas, Jamie Lee Curtis, Michael Shannon, Don Johnson, Toni Collette, Lakeith Stanfield, Katherine Langford, Jaeden Martell, Christopher Plummer"
Queen & Slim,"Melina Matsoukas (director); Lena Waithe (screenplay); Daniel Kaluuya, Jodie Turner-Smith, Bokeem Woodbine, Chloë Sevigny, Flea, Sturgill Simpson, Indya Moore"
The Two Popes,"Fernando Meirelles (director); Anthony McCarten (screenplay); Anthony Hopkins, Jonathan Pryce"
Playmobil: The Movie,"Lino DiSalvo (director), Ramaa Mosley (co-director); Blaise Hemingway (screenplay); Anya Taylor-Joy, Daniel Radcliffe, Gabriel Bateman, Jim Gaffigan, Meghan Trainor, Adam Lambert"
The Aeronauts,"Tom Harper (director); Jack Thorne (screenplay); Felicity Jones, Eddie Redmayne, Himesh Patel, Tom Courtenay"
A Million Little Pieces,"Sam Taylor-Johnson (director/screenplay); Aaron Taylor-Johnson (screenplay); Aaron Taylor-Johnson, Billy Bob Thornton, Odessa Young, Giovanni Ribisi, Juliette Lewis, Charlie Hunnam"
Daniel Isn't Real,"Adam Egypt Mortimer (director/screenplay); Brian DeLeeuw (screenplay); Miles Robbins, Patrick Schwarzenegger, Sasha Lane, Mary Stuart Masterson, Hannah Marks, Chukwudi Iwuji, Peter McRobbie"
Jumanji: The Next Level,"Jake Kasdan (director/screenplay); Scott Rosenberg, Jeff Pinkner (screenplay); Dwayne Johnson, Jack Black, Kevin Hart, Karen Gillan, Nick Jonas, Awkwafina, Rory McCann, Alex Wolff, Morgan Turner, Ser'Darius Blain, Madison Iseman, Danny Glover, Danny DeVito"
Richard Jewell,"Clint Eastwood (director); Billy Ray (screenplay); Paul Walter Hauser, Sam Rockwell, Kathy Bates, Jon Hamm, Olivia Wilde"
Black Christmas,"Sophia Takal (director/screenplay); April Wolfe (screenplay); Imogen Poots, Lily Donoghue, Aleyse Shannon, Brittany O'Grady, Caleb Eberhardt, Cary Elwes"
6 Underground,"Michael Bay (director); Rhett Reese, Paul Wernick (screenplay); Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Adria Arjona, Payman Maadi, Corey Hawkins, Ben Hardy, Dave Franco"
Bombshell,"Jay Roach (director); Charles Randolph (screenplay); Charlize Theron, Nicole Kidman, Margot Robbie, John Lithgow, Kate McKinnon, Connie Britton, Mark Duplass, Rob Delaney, Malcolm McDowell, Allison Janney"
Uncut Gems,"Safdie brothers (directors/screenplay); Ronald Bronstein (screenplay); Adam Sandler, Lakeith Stanfield, Julia Fox, Kevin Garnett, Idina Menzel, Eric Bogosian"
Seberg,"Benedict Andrews (director); Joe Shrapnel, Anna Waterhouse (screenplay); Kristen Stewart, Jack O'Connell, Margaret Qualley, Zazie Beetz, Vince Vaughn, Anthony Mackie"
A Hidden Life,"Terrence Malick (director/screenplay); August Diehl, Valerie Pachner, Matthias Schoenaerts"
Star Wars: The Rise of Skywalker,"J. J. Abrams (director/screenplay), Chris Terrio (screenplay); Carrie Fisher, Mark Hamill, Adam Driver, Daisy Ridley, John Boyega, Oscar Isaac, Anthony Daniels, Naomi Ackie, Domhnall Gleeson, Richard E. Grant, Lupita Nyong'o, Keri Russell, Joonas Suotamo, Kelly Marie Tran, Ian McDiarmid, Billy Dee Williams"
Cats,"Tom Hooper (director/screenplay); Lee Hall (screenplay); James Corden, Judi Dench, Jason Derulo, Idris Elba, Jennifer Hudson, Ian McKellen, Taylor Swift, Rebel Wilson, Ray Winstone, Francesca Hayward"
Togo,"Ericson Core (director); Tom Flynn (screenplay); Willem Dafoe, Julianne Nicholson, Christopher Heyerdahl, Michael Gaston, Michael McElhatton, Jamie McShane, Michael Greyeyes, Thorbjørn Harr, Shaun Benson, Nikolai Nikolaeff"
Spies in Disguise,"Nick Bruno, Troy Quane (directors); Brad Copeland (screenplay); Will Smith, Tom Holland, Rashida Jones, Ben Mendelsohn, Reba McEntire, Rachel Brosnahan, Karen Gillan, DJ Khaled, Masi Oka"
Little Women,"Greta Gerwig (director/screenplay); Saoirse Ronan, Emma Watson, Florence Pugh, Eliza Scanlen, Laura Dern, Timothée Chalamet, Meryl Streep, Tracy Letts, Bob Odenkirk, James Norton, Louis Garrel, Chris Cooper"
1917,"Sam Mendes (director/screenplay); Krysty Wilson-Cairns (screenplay); George MacKay, Dean-Charles Chapman, Mark Strong, Andrew Scott, Richard Madden, Claire Duburcq, Colin Firth, Benedict Cumberbatch"
Just Mercy,"Destin Daniel Cretton (director/screenplay), Andrew Lanham (screenplay); Michael B. Jordan, Jamie Foxx, Brie Larson, Rob Morgan, Tim Blake Nelson, Rafe Spall, O'Shea Jackson Jr., C.J. LeBlanc"
Clemency,"Chinonye Chukwu (director/screenplay); Alfre Woodard, Wendell Pierce, Aldis Hodge, Richard Schiff, Danielle Brooks"
The Grudge,"Nicolas Pesce (director/screenplay); Andrea Riseborough, Demián Bichir, John Cho, Betty Gilpin, Lin Shaye, Jacki Weaver"
Underwater,"William Eubank (director); Brian Duffield, Adam Cozad (screenplay); Kristen Stewart, Vincent Cassel, Jessica Henwick, John Gallagher Jr., Mamoudou Athie, T.J. Miller"
Like a Boss,"Miguel Arteta (director); Sam Pitman, Adam Cole-Kelly (screenplay); Tiffany Haddish, Rose Byrne, Salma Hayek, Jennifer Coolidge, Billy Porter"
Three Christs,"Jon Avnet (director/screenplay); Eric Nazarian (screenplay); Richard Gere, Peter Dinklage, Walton Goggins, Bradley Whitford"
Inherit the Viper,"Anthony Jerjen (director); Andrew Crabtree (screenplay); Josh Hartnett, Margarita Levieva, Chandler Riggs, Bruce Dern, Owen Teague"
The Sonata,"Andrew Desmond (director/screenplay); Arthur Morin (screenplay); Freya Tingley, Simon Abkarian, Rutger Hauer, James Faulkner"
The Murder of Nicole Brown Simpson,"Daniel Farrands (director); Michael Arter (screenplay); Mena Suvari, Nick Stahl, Taryn Manning"
Bad Boys for Life,"Adil El Arbi and Bilall Fallah (directors); Chris Bremmer (screenplay); Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Charles Melton, Paola Núñez, Kate del Castillo, Nicky Jam, Joe Pantoliano"
Dolittle,"Stephen Gaghan (director/screenplay); Dan Gregor, Doug Mand (screenplay); Robert Downey Jr., Antonio Banderas, Michael Sheen, Emma Thompson, Rami Malek, John Cena, Kumail Nanjiani, Octavia Spencer, Tom Holland, Craig Robinson, Ralph Fiennes, Selena Gomez, Marion Cotillard"
A Fall from Grace,"Tyler Perry (director/screenplay); Crystal R. Fox, Phylicia Rashad, Bresha Webb, Mehcad Brooks, Cicely Tyson, Tyler Perry"
The Gentlemen,"Guy Ritchie (director/screenplay); Matthew McConaughey, Charlie Hunnam, Henry Golding, Michelle Dockery, Jeremy Strong, Eddie Marsan, Colin Farrell, Hugh Grant"
The Turning,"Floria Sigismondi (director); Carey Hayes, Chad Hayes (screenplay); Mackenzie Davis, Finn Wolfhard, Brooklynn Prince, Joely Richardson"
The Last Full Measure,"Todd Robinson (director/screenplay); Sebastian Stan, Christopher Plummer, William Hurt, Ed Harris, Samuel L. Jackson, Peter Fonda, LisaGay Hamilton, Jeremy Irvine, Diane Ladd, Amy Madigan, John Savage, Bradley Whitford"
John Henry,"Will Forbes (director); Doug Skinner, Will Forbes (screenplay); Terry Crews, Ludacris, Jamila Velazquez, Ken Foree, Tyler Alvarez, Joseph Julian Soria"
The Rhythm Section,"Reed Morano (director); Mark Burnell (screenplay); Blake Lively, Jude Law, Sterling K. Brown"
Gretel & Hansel,"Oz Perkins (director/screenplay); Rob Hayes (screenplay); Sophia Lillis, Sammy Leakey, Charles Babalola, Jessica De Gouw, Alice Krige"
The Assistant,"Kitty Green (director/screenplay); Julia Garner, Matthew Macfadyen"
Birds of Prey,"Cathy Yan (director); Christina Hodson (screenplay); Margot Robbie, Mary Elizabeth Winstead, Jurnee Smollett-Bell, Rosie Perez, Chris Messina, Ella Jay Basco, Ali Wong, Ewan McGregor"
The Lodge,"Veronika Franz, Severin Fiala (directors/screenplay); Sergio Casci (screenplay); Riley Keough, Jaeden Martell, Lia McHugh, Richard Armitage, Alicia Silverstone"
Timmy Failure: Mistakes Were Made,"Tom McCarthy (director/screenplay); Stephan Pastis (screenplay); Winslow Fegley, Ophelia Lovibond, Craig Robinson, Wallace Shawn"
Horse Girl,"Jeff Baena (director/screenplay); Alison Brie (screenplay); Alison Brie, Debby Ryan, John Paul Reynolds, Molly Shannon, John Ortiz, Paul Reiser"
To All the Boys: P.S. I Still Love You,"Michael Fimognari (director); Sofia Alvarez, J. Mills Goodloe (screenplay); Lana Condor, Noah Centineo, Jordan Fisher, Anna Cathcart, John Corbett"
Sonic the Hedgehog,"Jeff Fowler (director); Patrick Casey, Josh Miller (screenplay); James Marsden, Ben Schwartz, Tika Sumpter, Natasha Rothwell, Adam Pally, Neal McDonough, Jim Carrey"
Fantasy Island,"Jeff Wadlow (director/screenplay); Chris Roach, Jillian Jacobs (screenplay); Michael Peña, Maggie Q, Lucy Hale, Austin Stowell, Portia Doubleday, Jimmy O. Yang, Ryan Hansen, Michael Rooker"
The Photograph,"Stella Meghie (director/screenplay); Issa Rae, Lakeith Stanfield, Chelsea Peretti, Lil Rel Howery, Courtney B. Vance"
Downhill,"Nat Faxon, Jim Rash (directors); Jesse Armstrong (screenplay); Julia Louis-Dreyfus, Will Ferrell, Miranda Otto, Zoë Chao, Zach Woods"
Spy Intervention,"Drew Mylrea (director); Mark Famiglietti, Lane Garrison (screenplay); Drew Van Acker, Poppy Delevingne, Natasha Bassett, Max Silvestri, Brittany Furlan, Blake Anderson"
The Kindness of Strangers,"Lone Scherfig (director/screenplay); Andrea Riseborough, Tahar Rahim, Zoe Kazan, Bill Nighy, Caleb Landry Jones, Jay Baruchel"
The Call of the Wild,"Chris Sanders (director); Michael Green (screenplay); Harrison Ford, Omar Sy, Cara Gee, Dan Stevens, Karen Gillan, Bradley Whitford"
The Last Thing He Wanted,"Dee Rees (director, screenplay); Marco Villalobos (screenplay); Anne Hathaway, Ben Affleck, Rosie Perez, Edi Gathegi, Mel Rodriguez, Toby Jones, Willem Dafoe"
Brahms: The Boy II,"William Brent Bell (director); Stacey Menear (screenplay); Katie Holmes, Owain Yeoman, Christopher Convery, Ralph Ineson"
